stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
AAV,21.3,23.4,19.2,22.3,1.5,278.2,6100530,23.1,21.0,21.9
ACM,3.4,3.7,3.1,0.0,0.0,0.0,0,0.0,0.0,0.0
ADC,26.4,29.0,23.8,24.0,0.2,0.2,4800,24.0,24.0,24.0
ALT,20.1,22.1,18.1,0.0,0.0,0.0,0,0.0,0.0,0.0
AMC,25.0,27.5,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0
AME,14.4,15.8,13.0,14.5,0.1,27.7,373930,14.5,13.0,13.5
AMV,10.9,11.9,9.9,11.8,52.2,852.8,9695840,11.9,10.7,11.3
API,59.7,65.6,53.8,65.6,23.2,194.5,12239080,65.6,57.2,62.6
APP,11.5,12.6,10.4,11.4,0.1,1.8,19770,11.5,10.7,11.0
APS,26.1,28.7,23.5,28.7,17.9,1849.1,51002300,28.7,26.3,27.6
ARM,50.0,55.0,45.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ART,10.0,11.0,9.0,10.2,117.2,4097.1,41213560,10.6,9.7,10.1
ATS,34.9,38.3,31.5,31.5,0.1,0.1,3150,31.5,31.5,31.5
BAB,22.0,24.2,19.8,22.0,0.6,24.0,526990,22.1,21.8,22.0
BAX,71.0,78.1,63.9,72.0,0.5,0.7,50200,72.0,71.0,71.7
BBS,11.9,13.0,10.8,13.0,0.3,0.5,6400,13.0,12.0,12.5
BCC,18.3,20.1,16.5,19.5,4.6,435.8,8288090,19.5,18.3,19.0
BCF,35.5,39.0,32.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BDB,13.9,15.2,12.6,14.0,0.1,0.1,1400,14.0,14.0,14.0
BED,46.0,50.6,41.4,0.0,0.0,0.0,0,0.0,0.0,0.0
BII,7.9,8.6,7.2,8.6,1.2,486.0,4140090,8.6,7.8,8.5
BKC,7.4,8.1,6.7,8.1,0.1,3.6,28590,8.1,7.4,7.9
BLF,7.2,7.9,6.5,0.0,0.0,0.0,0,0.0,0.0,0.0
BNA,42.0,46.2,37.8,41.5,26.6,274.5,11229810,42.2,40.4,40.8
BPC,12.9,14.1,11.7,0.0,0.0,0.0,0,0.0,0.0,0.0
BSC,24.4,26.8,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BST,16.6,18.2,15.0,15.1,0.1,0.1,1510,15.1,15.1,15.1
BTS,11.0,12.1,9.9,11.3,1.0,33.2,370300,11.3,11.0,11.1
BTW,35.1,38.6,31.6,32.5,0.1,0.1,3250,32.5,32.5,32.5
BVS,35.5,39.0,32.0,36.7,1.0,142.4,5147670,36.8,35.3,36.1
BXH,16.5,18.1,14.9,0.0,0.0,0.0,0,0.0,0.0,0.0
C69,16.3,17.9,14.7,16.8,4.6,136.6,2228690,16.9,16.0,16.3
C92,7.7,8.4,7.0,8.4,0.3,27.3,220320,8.4,7.0,8.1
CAG,18.8,20.6,17.0,18.5,0.3,26.2,478580,20.0,17.0,18.3
CAN,59.0,64.9,53.1,0.0,0.0,0.0,0,0.0,0.0,0.0
CAP,87.0,95.7,78.3,86.0,0.3,8.9,760150,87.0,84.6,85.4
CCR,24.5,26.9,22.1,23.3,1.0,11.3,259750,24.2,22.6,23.0
CDN,28.0,30.8,25.2,28.4,0.1,3.5,99190,28.5,28.0,28.3
CEO,51.9,57.0,46.8,57.0,10.6,11357.5,574291850,57.0,46.8,50.6
CET,8.2,9.0,7.4,8.9,0.1,10.3,86690,8.9,8.1,8.4
CIA,14.2,15.6,12.8,13.9,0.3,10.9,149620,14.2,13.5,13.7
CJC,14.0,15.4,12.6,13.5,0.1,0.2,2700,13.5,13.5,13.5
CKV,21.2,23.3,19.1,0.0,0.0,0.0,0,0.0,0.0,0.0
