stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
AAV,22.3,24.5,20.1,22.3,2.4,231.2,5182230,23.0,22.0,22.4
ACM,3.4,3.7,3.1,3.2,53.0,2733.1,8930490,3.5,3.1,3.3
ADC,24.0,26.4,21.6,26.2,0.1,0.1,2620,26.2,26.2,26.2
ALT,20.1,22.1,18.1,0.0,0.0,0.0,0,0.0,0.0,0.0
AMC,25.0,27.5,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0
AME,14.5,15.9,13.1,14.2,6.1,21.3,303990,14.5,14.1,14.3
AMV,11.8,12.9,10.7,11.6,8.1,865.3,10040050,12.0,11.4,11.6
API,65.6,72.1,59.1,68.0,15.9,253.5,17517260,70.8,65.7,69.2
APP,11.4,12.5,10.3,11.3,0.6,2.6,28430,11.3,10.6,10.8
APS,28.7,31.5,25.9,31.1,26.9,1612.6,50001980,31.5,29.5,31.0
ARM,50.0,55.0,45.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ART,10.2,11.2,9.2,11.1,189.4,6823.3,73567810,11.2,9.9,10.8
ATS,31.5,34.6,28.4,0.0,0.0,0.0,0,0.0,0.0,0.0
BAB,22.0,24.2,19.8,22.1,0.1,50.6,1126540,22.5,22.0,22.3
BAX,72.0,79.2,64.8,78.7,1.2,28.0,2194100,79.2,72.5,78.3
BBS,13.0,14.3,11.7,13.1,0.1,0.3,3910,13.1,13.0,13.0
BCC,19.5,21.4,17.6,19.8,8.4,393.2,7878380,20.3,19.7,20.0
BCF,35.5,39.0,32.0,36.0,0.1,0.1,3600,36.0,36.0,36.0
BDB,14.0,15.4,12.6,0.0,0.0,0.0,0,0.0,0.0,0.0
BED,46.0,50.6,41.4,0.0,0.0,0.0,0,0.0,0.0,0.0
BII,8.6,9.4,7.8,9.4,0.1,220.6,2073640,9.4,9.4,9.4
BKC,8.1,8.9,7.3,8.9,0.1,24.0,213330,8.9,8.3,8.9
BLF,7.2,7.9,6.5,6.5,0.2,8.7,56550,6.5,6.5,6.5
BNA,41.5,45.6,37.4,42.0,66.0,332.0,13664210,42.0,40.5,40.9
BPC,12.9,14.1,11.7,12.9,0.3,0.3,3870,12.9,12.9,0.0
BSC,24.4,26.8,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BST,15.1,16.6,13.6,14.1,0.6,0.6,8460,14.1,14.1,14.1
BTS,11.3,12.4,10.2,11.0,5.5,39.7,449940,11.5,10.9,11.3
BTW,32.5,35.7,29.3,32.0,0.9,1.1,35200,32.0,32.0,32.0
BVS,36.7,40.3,33.1,36.8,4.0,75.1,2758400,37.1,36.1,36.7
BXH,16.5,18.1,14.9,0.0,0.0,0.0,0,0.0,0.0,0.0
C69,16.8,18.4,15.2,16.5,2.5,96.4,1601130,17.3,16.4,16.6
C92,8.4,9.2,7.6,8.5,0.7,35.3,309570,9.2,8.4,8.8
CAG,18.5,20.3,16.7,18.9,0.1,3.0,57600,19.8,18.8,19.2
CAN,59.0,64.9,53.1,53.5,0.1,0.7,37450,53.5,53.5,53.5
CAP,86.0,94.6,77.4,86.0,0.1,0.3,25800,86.0,86.0,86.0
CCR,23.3,25.6,21.0,23.2,0.1,1.5,34000,23.2,22.5,22.7
CDN,28.4,31.2,25.6,28.0,0.7,21.2,597350,28.4,28.0,28.2
CEO,57.0,62.7,51.3,62.7,9.0,3555.3,222909080,62.7,62.5,62.7
CET,8.9,9.7,8.1,9.0,0.1,20.3,178260,9.0,8.5,8.8
CIA,13.9,15.2,12.6,13.8,0.2,4.5,62460,14.0,13.7,13.9
CJC,13.5,14.8,12.2,0.0,0.0,0.0,0,0.0,0.0,0.0
CKV,21.2,23.3,19.1,0.0,0.0,0.0,0,0.0,0.0,0.0
CLH,27.3,30.0,24.6,27.3,0.6,20.0,545680,27.5,27.1,27.3
CLM,25.7,28.2,23.2,27.6,0.1,0.1,2760,27.6,27.6,27.6
CMC,11.9,13.0,10.8,11.9,0.1,3.2,38080,11.9,11.9,11.9
CMS,31.1,34.2,28.0,31.0,0.2,38.7,1215050,33.0,30.6,31.4
CPC,22.2,24.4,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CSC,114.0,125.4,102.6,120.0,6.3,34.7,3977870,120.0,110.2,113.4
CTB,27.3,30.0,24.6,26.8,0.5,0.5,13400,26.8,26.8,0.0
CTC,8.4,9.2,7.6,8.3,4.3,139.6,1174610,8.8,8.2,8.4
CTP,7.8,8.5,7.1,7.9,0.2,22.9,179750,8.2,7.7,7.8
CTT,13.0,14.3,11.7,0.0,0.0,0.0,0,0.0,0.0,0.0
CTX,10.8,11.8,9.8,10.6,0.8,65.3,661380,10.8,9.8,10.1
CVN,10.9,11.9,9.9,10.5,11.4,176.9,1876790,11.1,10.4,10.6
CX8,8.7,9.5,7.9,9.5,0.1,0.4,3670,9.5,8.8,9.2
D11,31.4,34.5,28.3,31.0,1.5,26.6,838720,32.0,30.8,31.6
DAD,26.0,28.6,23.4,26.0,0.5,0.5,13000,26.0,26.0,26.0
DAE,26.2,28.8,23.6,24.1,0.1,0.1,2410,24.1,24.1,24.1
DC2,15.0,16.5,13.5,15.3,0.2,1.4,20760,15.8,14.2,14.8
DDG,32.2,35.4,29.0,32.4,0.1,191.3,6210010,32.8,32.1,32.5
DHP,12.2,13.4,11.0,12.0,0.5,1.3,15600,12.0,12.0,12.0
DHT,43.0,47.3,38.7,42.8,0.1,7.5,323190,43.5,42.8,43.1
DIH,47.3,52.0,42.6,52.0,0.6,41.8,2173190,52.0,50.4,52.0
DL1,12.5,13.7,11.3,12.2,24.3,1237.3,15352620,12.8,12.0,12.4
DNC,61.0,67.1,54.9,0.0,0.0,0.0,0,0.0,0.0,0.0
DNM,43.0,47.3,38.7,44.0,0.5,8.6,375670,44.0,43.1,43.7
DNP,18.9,20.7,17.1,19.3,0.1,58.5,1112310,19.3,18.7,19.0
DP3,108.0,118.8,97.2,110.9,0.1,0.3,33270,110.9,110.9,110.9
DPC,25.0,27.5,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0
DS3,8.9,9.7,8.1,8.5,5.5,30.2,256410,8.9,8.4,8.5
DST,12.6,13.8,11.4,12.7,41.1,524.1,6585380,12.9,12.4,12.6
DTC,11.5,12.6,10.4,11.9,0.1,3.5,41560,12.0,11.8,11.9
DTD,46.4,51.0,41.8,45.5,15.3,151.1,7036840,48.1,45.5,46.7
DTK,15.0,16.5,13.5,15.0,0.1,0.9,13830,15.5,15.0,15.4
DVG,19.9,21.8,18.0,20.0,0.1,14.0,279050,20.0,19.4,19.9
DXP,19.3,21.2,17.4,19.0,1.4,85.4,1620870,19.1,18.8,19.0
DZM,9.5,10.4,8.6,9.9,0.1,1.8,17250,10.2,9.5,9.6
EBS,11.0,12.1,9.9,11.0,0.5,0.5,5500,11.0,11.0,0.0
ECI,43.6,47.9,39.3,43.6,44.0,44.0,1918400,43.6,43.6,43.6
EID,24.0,26.4,21.6,24.4,1.6,7.6,183060,24.4,23.9,24.0
EVS,38.9,42.7,35.1,39.0,5.8,35.3,1379910,39.9,39.0,39.1
FID,6.8,7.4,6.2,7.4,16.9,429.8,3137250,7.4,7.0,7.3
GDW,26.2,28.8,23.6,28.0,0.1,0.1,2800,28.0,28.0,28.0
GIC,22.2,24.4,20.0,22.2,0.5,19.9,437140,22.3,21.5,22.0
GKM,50.5,55.5,45.5,51.7,17.3,483.8,24583770,51.7,50.3,50.8
GLT,31.0,34.1,27.9,32.9,1.5,5.4,171750,32.9,31.0,31.4
GMA,61.0,67.1,54.9,61.0,0.3,65.4,3989400,61.0,61.0,61.0
GMX,19.0,20.9,17.1,18.9,0.1,0.3,5680,19.0,18.9,18.9
HAD,16.6,18.2,15.0,16.6,0.1,0.6,9960,16.6,16.6,16.6
HAT,22.0,24.2,19.8,0.0,0.0,0.0,0,0.0,0.0,0.0
HBS,12.0,13.2,10.8,12.4,2.6,61.0,759160,12.9,12.0,12.4
HCC,12.1,13.3,10.9,12.5,0.5,1.0,12500,12.6,12.3,12.5
HCT,12.2,13.4,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0
HDA,26.2,28.8,23.6,26.5,6.3,96.3,2575180,27.2,25.9,26.8
